LSOA11CD,pop,hect,pop_dens
E01018750,2265,174.7,12.965083
E01018751,1505,630.73,2.386124015
E01018752,2016,328.16,6.14334471
E01018753,1608,1155.17,1.392002909
E01018754,1543,234.6,6.5771526
E01018755,1490,417.21,3.571342969
E01018756,1612,537.79,2.997452537
E01018757,2066,3031.14,0.681591744
E01018758,2425,2855.03,0.849378115
E01018759,1494,2721.69,0.548923647
E01018760,1242,4369.6,0.284236543
E01018761,1489,3097.41,0.480724218
E01018762,1203,723.84,1.661969496
E01018763,1115,1469.43,0.758797629
E01018764,1436,2257.8,0.636017362
E01018765,1479,2769.65,0.534002491
E01018766,1825,6863.79,0.265888088
E01018767,1490,53.14,28.03914189
E01018768,1973,91.04,21.67179262
E01018769,1851,663.37,2.790298024
E01018770,1246,32.58,38.24432167
E01018771,1300,45.94,28.29777971
E01018772,1557,208.13,7.48090136
E01018773,1517,380.6,3.985811876
E01018774,1403,951.01,1.475273656
E01018775,1436,61.27,23.43724498
E01018776,1169,45.1,25.92017738
E01018777,2015,4508.17,0.446966286
E01018778,1716,3047.62,0.563062324
E01018779,2231,2385.95,0.935057315
E01018780,2278,457.45,4.979779211
E01018781,1839,2280.15,0.806525886
E01018782,1476,1067.27,1.382967759
E01018783,1536,1162.42,1.321381256
E01018784,1454,8455.87,0.171951556
E01018785,1946,3980.45,0.488889447
E01018786,1305,23.98,54.42035029
E01018787,1560,700.83,2.225932109
E01018788,1413,30.23,46.74164737
E01018789,1456,34.9,41.71919771
E01018790,1180,30.76,38.36150845
E01018791,1222,71.87,17.00292194
E01018792,2782,163.03,17.06434399
E01018793,1703,38.77,43.92571576
E01018794,1382,29,47.65517241
E01018795,1210,1028.93,1.17597893
E01018796,1206,18.53,65.08364814
E01018797,1127,19.91,56.60472125
E01018798,1484,28.8,51.52777778
E01018799,1182,56.69,20.85023814
E01018800,1618,43.46,37.22963645
E01018803,1748,108.14,16.16423155
E01018804,1878,20.94,89.68481375
E01018805,1458,70.73,20.61360102
E01018806,1532,21.69,70.63162748
E01018807,1303,179.13,7.274046782
E01018808,1451,30.64,47.35639687
E01018809,1960,56.58,34.64121598
E01018810,1354,62.65,21.61213089
E01018811,1490,37.02,40.24851432
E01018812,1374,50.81,27.04192088
E01018813,1424,199.6,7.134268537
E01018814,1437,58.48,24.57250342
E01018815,2026,4032.67,0.502396675
E01018816,1683,921.97,1.825439006
E01018817,2049,2429,0.843557019
E01018818,1616,330.05,4.896227844
E01018819,1475,503.09,2.931880976
E01018820,1806,1369.44,1.318787242
E01018821,1227,1578.61,0.777266076
E01018822,1234,75.54,16.33571618
E01018823,1464,35.06,41.75698802
E01018824,2553,89.76,28.44251337
E01018825,1554,881.41,1.763084149
E01018826,2127,756.19,2.812785147
E01018827,1503,924.19,1.626288967
E01018828,1489,588.27,2.531150662
E01018829,1353,1405.88,0.962386548
E01018830,1459,761.59,1.915728936
E01018831,1307,2577.34,0.507111984
E01018832,1327,1382.95,0.959543006
E01018833,1486,2078.2,0.715041863
E01018834,1798,88.93,20.21814911
E01018835,1758,49.61,35.43640395
E01018836,1580,32.66,48.37721984
E01018837,1957,166.86,11.72839506
E01018838,1557,30.78,50.58479532
E01018839,1178,18.22,64.65422613
E01018840,1636,26.92,60.77265973
E01018841,1435,26.13,54.9177191
E01018842,1402,133.63,10.49165607
E01018843,1292,2055.74,0.628484147
E01018844,1226,110.32,11.11312545
E01018845,1578,3720.11,0.424181005
E01018846,1321,3677.78,0.359184073
E01018847,1513,2821.69,0.536203481
E01018848,1614,133.24,12.11347944
E01018849,1863,2450.52,0.760246805
E01018850,1334,4103.31,0.325103392
E01018851,1383,117.58,11.76220446
E01018852,2501,1825.7,1.369885523
E01018853,2499,77.14,32.39564428
E01018854,1344,156.22,8.603251824
E01018855,2382,238.14,10.00251953
E01018856,1391,87.12,15.96648301
E01018857,1173,151.92,7.721169036
E01018858,1458,74.21,19.64694785
E01018859,1731,63.84,27.11466165
E01018860,1919,44.9,42.73942094
E01018861,1434,1143.34,1.254220092
E01018862,1384,1209.29,1.144473203
E01018863,1652,1878.5,0.879425073
E01018864,1639,2231.62,0.734444036
E01018865,1900,104.95,18.10385898
E01018866,1601,42,38.11904762
E01018867,1935,70.94,27.27657175
E01018868,1768,32.39,54.58474838
E01018869,1570,138.27,11.35459608
E01018870,1293,22.82,56.66082384
E01018871,1657,63.87,25.94332237
E01018872,1250,678.72,1.841702027
E01018873,1297,102.47,12.65736313
E01018874,1304,57.87,22.53326421
E01018875,1348,26.95,50.01855288
E01018876,1389,1268.6,1.094907772
E01018877,1420,176.16,8.060853769
E01018878,1405,24.26,57.91426216
E01018879,1753,1535.8,1.141424665
E01018880,2137,3375.34,0.633121404
E01018881,1842,2931.94,0.628252966
E01018882,1521,100.21,15.17812594
E01018883,1570,424.76,3.696204916
E01018884,1655,43.4,38.13364055
E01018885,1486,37.55,39.57390146
E01018886,1951,520.9,3.745440584
E01018887,1587,279.99,5.668059574
E01018888,1912,63.94,29.90303409
E01018889,1334,70.87,18.8231974
E01018890,1420,332.95,4.26490464
E01018891,1297,694.33,1.867987844
E01018892,1336,888.33,1.503945606
E01018893,1353,115.12,11.75295344
E01018894,1810,547.46,3.30617762
E01018895,1674,154.97,10.80209073
E01018896,1528,94.31,16.20188739
E01018897,1416,371.28,3.813833226
E01018898,1293,22.87,56.53694797
E01018899,2601,1079.34,2.409805993
E01018900,1486,967.65,1.535679223
E01018901,1668,834.72,1.998274871
E01018902,1200,2873.74,0.417574311
E01018903,1776,3123.19,0.568649362
E01018904,2091,2029.13,1.0304909
E01018905,1316,2018.21,0.652062967
E01018906,1225,91.47,13.39236908
E01018907,1226,56.68,21.63020466
E01018908,1668,894.98,1.863728798
E01018909,1591,55.07,28.890503
E01018910,1861,79.6,23.37939698
E01018911,1684,63.47,26.53221995
E01018912,1467,194.58,7.539315449
E01018913,1837,35.04,52.42579909
E01018914,1873,269.33,6.954293989
E01018915,2037,58.01,35.11463541
E01018916,1328,432.57,3.070023349
E01018917,1373,158.86,8.642830165
E01018918,1772,414.42,4.275855412
E01018919,1348,171.37,7.86602089
E01018920,2008,4174.54,0.481011081
E01018921,2101,1747.53,1.202268344
E01018922,2372,3649.57,0.649939582
E01018923,1250,2988.25,0.418305028
E01018924,1140,5198.33,0.219301199
E01018925,2153,10216.69,0.210733613
E01018926,2354,12101.77,0.194517
E01018927,1574,93.83,16.77501865
E01018928,1754,27.25,64.36697248
E01018929,1274,195.09,6.53031934
E01018930,1603,40.84,39.25073457
E01018931,1184,104.84,11.29339947
E01018932,1680,235.64,7.129519606
E01018933,1418,43.25,32.78612717
E01018934,1990,378.01,5.264410994
E01018935,2259,221.7,10.1894452
E01018936,1518,135.28,11.2211709
E01018937,1898,74.41,25.50732428
E01018938,1675,281.91,5.941612571
E01018940,1558,2846.86,0.547269623
E01018941,1554,1220.18,1.273582586
E01018942,1519,958.04,1.585528788
E01018943,2121,6724.27,0.315424574
E01018944,1194,1951.37,0.611877809
E01018945,1291,2926.06,0.441207631
E01018946,1491,94.45,15.78613023
E01018947,2988,470.45,6.351365714
E01018948,1677,193.96,8.646112601
E01018949,1421,52.89,26.86708262
E01018950,1639,70.14,23.36755061
E01018951,2254,5548.69,0.406222009
E01018952,1167,2172.38,0.537198833
E01018953,1209,4890.14,0.247232186
E01018954,1236,2449.92,0.50450627
E01018955,1606,1594.36,1.007300735
E01018956,1085,2333.37,0.464992693
E01018957,1282,1232.23,1.040390187
E01018958,1352,113.19,11.94451807
E01018959,1445,728.38,1.983854581
E01018960,1920,453.2,4.236540159
E01018961,1478,66.06,22.37359976
E01018962,2174,4592.79,0.473350621
E01018965,2478,5045.25,0.491155047
E01018966,1092,3537.21,0.308717888
E01018967,1367,1936.61,0.705872633
E01018968,2515,11899.36,0.211355905
E01018969,2250,6471.99,0.347651959
E01018970,1521,82.62,18.40958606
E01018971,2015,133.95,15.04292647
E01018972,1789,44.75,39.97765363
E01018973,1396,102.47,13.62349956
E01018974,2570,9723.19,0.264316546
E01018975,1994,178.93,11.1440228
E01018976,2144,327.86,6.539376563
E01018977,1428,19.78,72.19413549
E01018978,1481,775.66,1.909341722
E01018979,1390,1224.75,1.134925495
E01018980,1407,1622.65,0.867100114
E01018981,2046,93.6,21.85897436
E01018982,2149,203.25,10.57318573
E01018983,1609,110.67,14.53871871
E01018984,2118,149.64,14.15396953
E01018985,2324,623.73,3.725971173
E01018986,1568,119,13.17647059
E01018987,2081,2902.66,0.71692861
E01018988,1537,681.23,2.256213026
E01018989,1776,5039.34,0.352427104
E01018990,1810,563.98,3.209333664
E01018991,1518,1227.24,1.236921873
E01018992,1624,2325.48,0.698350448
E01018993,1670,66.85,24.98130142
E01018994,1632,78.15,20.88291747
E01018995,2069,38.05,54.37582129
E01018996,1590,58.67,27.10073291
E01018997,1471,26.47,55.57234605
E01018998,1467,12.73,115.2395915
E01018999,1447,18.97,76.27833421
E01019000,1403,61.15,22.94358136
E01019001,1685,32.03,52.606931
E01019002,1390,401.31,3.463656525
E01019003,1716,167.01,10.27483384
E01019004,1603,49.2,32.58130081
E01019005,2081,3646.02,0.570759349
E01019006,1616,3816.24,0.423453452
E01019007,2202,2704.78,0.814114272
E01019008,1428,22.81,62.604121
E01019009,1520,661.47,2.297912226
E01019010,1372,43.6,31.46788991
E01019011,1445,230.73,6.262731331
E01019012,1778,43.97,40.43666136
E01019013,2214,79.65,27.79661017
E01019014,1395,31.51,44.27165979
E01019015,1467,31.78,46.16110761
E01019016,1881,29.2,64.41780822
E01019017,2342,551.99,4.242830486
E01019018,1611,64.41,25.01164415
E01019019,1417,61.12,23.18390052
E01019020,1441,39.56,36.42568251
E01019021,1486,58.98,25.19498135
E01019022,1726,37.06,46.57312466
E01019023,1596,27.71,57.59653555
E01019024,1446,739.66,1.954952275
E01019025,1441,1823.47,0.790251553
E01019026,1458,137.65,10.59208137
E01019027,1513,89.98,16.81484774
E01019028,2098,84.37,24.86665876
E01019029,1453,36.13,40.21588707
E01019030,1782,75.6,23.57142857
E01019031,1558,533.61,2.919735387
E01019032,1482,59.48,24.91593813
E01019033,1403,53.16,26.39202408
E01019034,1523,381.19,3.99538288
E01019035,1519,426.38,3.562549838
E01019036,1687,3691.82,0.45695619
E01019037,1508,1387.22,1.087066219
E01019038,1106,225.09,4.91359012
E01019039,1411,2293.61,0.615187412
E01019040,1220,538.86,2.264038897
E01019041,1763,42.01,41.96619852
E01019042,1709,38.05,44.91458607
E01019043,1558,78.69,19.7992121
E01019044,1487,43.64,34.07424381
E01019045,2145,138.17,15.52435406
E01019046,1367,22.98,59.48651001
E01019047,1194,65.31,18.2820395
E01019048,1828,463.71,3.942118997
E01019049,1817,487.57,3.726644379
E01019050,1428,1852.8,0.770725389
E01019051,1598,64.97,24.59596737
E01019052,1808,3087.34,0.585617392
E01019053,1942,1421.9,1.365778184
E01019054,1816,1762.16,1.030553412
E01019055,1484,58.39,25.41531084
E01019056,1628,76.29,21.33962511
E01019057,1918,134.46,14.26446527
E01019058,1773,117.36,15.10736196
E01019059,1554,363.39,4.276397259
E01019060,1659,4008.94,0.413825101
E01019061,1728,240.9,7.173100872
E01019062,1944,57.54,33.78519291
E01019063,1963,2614.85,0.750712278
E01019064,1931,3163.76,0.61034971
E01019065,1326,86.55,15.32062392
E01019066,1212,2509.18,0.483026327
E01019067,1143,2185.34,0.523030741
E01019068,1620,421.19,3.846245163
E01019069,1308,640.01,2.043718067
E01019070,1999,399.24,5.007013325
E01019071,1580,2048.74,0.771205717
E01019072,1514,63.54,23.82751023
E01019073,1426,753.18,1.893305717
E01019074,1785,359.72,4.962192817
E01019075,1731,1377.42,1.256697304
E01019076,1870,343.42,5.445227418
E01033289,2239,3096.26,0.723130486
E01033291,1596,1380.1,1.156437939
E01033292,1349,51.86,26.01234092
E01033294,2306,251.82,9.157334604